,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,partie,part
1,1,1,histoire,history
2,2,2,chercher,search
3,3,3,seulement,only
4,4,4,police,police
5,6,6,aide,help
6,7,7,genre,kind
7,8,8,mois,month
8,9,9,frère,brother
9,10,10,laisser,let
10,11,11,car,because
11,12,12,mettre,to put
12,13,13,aucun,no
13,14,14,laisse,leash
14,15,15,eux,them
15,16,16,ville,city
16,17,17,chaque,each
17,18,18,parlé,speak
18,19,19,arrivé,come
19,21,21,bébé,baby
20,22,22,longtemps,long time
21,23,23,heures,hours
22,24,24,vont,will
23,25,25,pendant,while
24,26,26,revoir,meet again
25,27,27,aucune,any
26,28,28,place,square
27,29,29,parle,speak
28,30,30,compris,understood
29,31,31,savais,knew
30,32,32,étaient,were
31,33,33,attention,Warning
32,34,34,voici,here is
33,35,35,pourrais,could
34,36,36,affaire,case
35,38,38,type,type
36,39,39,leurs,their
37,40,40,donné,given
38,41,41,train,train
39,42,43,endroit,place
40,43,44,yeux,eyes
41,44,45,façon,way
42,45,46,écoute,listen
43,46,47,dont,whose
44,47,48,trouve,find
45,48,49,premier,first
46,49,50,perdu,lost
47,50,51,main,hand
48,52,53,côté,side
49,53,54,pouvoir,power
50,54,55,vieux,old
51,55,56,sois,be
52,56,57,tiens,here
53,57,58,matin,morning
54,58,59,tellement,so much
55,59,60,enfant,child
56,60,61,point,point
57,61,62,venu,came
58,62,63,suite,after
59,63,64,pardon,sorry
60,64,65,venez,come
61,65,66,devant,in front of
62,66,67,vers,towards
63,67,68,minutes,minutes
64,68,69,demandé,request
65,69,70,chambre,bedroom
66,70,71,mis,placed
67,71,72,belle,beautiful
68,72,73,droit,law
69,73,74,aimerais,would like to
70,74,75,aujourd'hui,today
71,75,76,mari,husband
72,76,77,cause,cause
73,77,78,enfin,finally
74,78,79,espère,hope
75,79,80,eau,water
76,80,81,attendez,Wait
77,81,82,parti,left
78,82,83,nouvelle,new
79,83,84,boulot,job
80,84,85,arrêter,Stop
81,85,86,dirait,would say
82,86,87,terre,Earth
83,87,88,compte,account
84,88,89,donne,given
85,90,91,fin,end
86,91,92,croire,believe
87,92,93,chérie,sweetheart
88,93,94,gros,large
89,94,95,plutôt,rather
90,95,96,aura,will have
91,96,97,filles,girls
92,97,98,jouer,to play
93,98,99,bureau,office
